Etablissement;Code_Guichet;Nom_Guichet;Rue;Complement_adresse;Ville;Code_Postal;Horaires;Infos_Complementaires;Raison_Sociale;Url_site;coordonnees_gps;ouverture_lundi;ouverture_mardi;ouverture_mercredi;ouverture_jeudi;ouverture_vendredi;ouverture_samedi;ouverture_dimanche;ouverture_lundi_matin;fermeture_lundi_matin;ouverture_lundi_apresmidi;fermeture_lundi_apresmidi;ouverture_mardi_matin;fermeture_mardi_matin;ouverture_mardi_apresmidi;fermeture_mardi_apresmidi;ouverture_mercredi_matin;fermeture_mercredi_matin;ouverture_mercredi_apresmidi;fermeture_mercredi_apresmidi;ouverture_jeudi_matin;fermeture_jeudi_matin;ouverture_jeudi_apresmidi;fermeture_jeudi_apresmidi;ouverture_vendredi_matin;fermeture_vendredi_matin;ouverture_vendredi_apresmidi;fermeture_vendredi_apresmidi;ouverture_samedi_matin;fermeture_samedi_matin;ouverture_samedi_apresmidi;fermeture_samedi_apresmidi;ouverture_dimanche_matin;fermeture_dimanche_matin;ouverture_dimanche_apresmidi;fermeture_dimanche_apresmidi
13807;00680;PLERIN ARMOR BANQUE PRIVEE;1, rue des Mimosas;;PLERIN;22190;Lu0900123014001630Ma0900123014001800Me0900123014001800Je0900123014001800Ve0900123014001800Sa0000000000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;48.543437,-2.770298;Lu0900123014001630;Ma0900123014001800;Me0900123014001800;Je0900123014001800;Ve0900123014001800;Sa0000000000000000;Di0000000000000000;0900;1230;1400;1630;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1400;1800;0000;0000;0000;0000;0000;0000;0000;0000
10107;00109;PARIS CHAMPERRET;15, ave Stéphane Mallarmé;;PARIS 17;75017;Lu0000000000000000Ma0900130013451800Me0900130013451800Je1000130013451800Ve0900130013451800Sa0900130000000000Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;48.886192,2.29281;Lu0000000000000000;Ma0900130013451800;Me0900130013451800;Je1000130013451800;Ve0900130013451800;Sa0900130000000000;Di0000000000000000;0000;0000;0000;0000;0900;1300;1345;1800;0900;1300;1345;1800;1000;1300;1345;1800;0900;1300;1345;1800;0900;1300;0000;0000;0000;0000;0000;0000
13807;00872;CHOLET PROFESSIONNELS;4, rue Roger Hostein;;CHOLET;49300;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;47.04613,-0.875393;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
10107;00116;PARIS PORTE D'AUTEUIL;105, bd de Montmorency;;PARIS 16;75016;Lu0000000000000000Ma0900000000001815Me0900000000001815Je1000000000001815Ve0900000000001815Sa0900130000000000Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;48.848038,2.260532;Lu0000000000000000;Ma0900000000001815;Me0900000000001815;Je1000000000001815;Ve0900000000001815;Sa0900130000000000;Di0000000000000000;0000;0000;0000;0000;0900;0000;0000;1815;0900;0000;0000;1815;1000;0000;0000;1815;0900;0000;0000;1815;0900;1300;0000;0000;0000;0000;0000;0000
13807;00874;LA ROCHE SUR YON PROF.;1, place de la Vendeée;;LA ROCHE SUR YON;85000;Lu0900123014001800Ma0900123014001800Me0900123014001800Je0900123015301800Ve0900123014001800Sa0000000000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;46.669959,-1.432245;Lu0900123014001800;Ma0900123014001800;Me0900123014001800;Je0900123015301800;Ve0900123014001800;Sa0000000000000000;Di0000000000000000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1530;1800;0900;1230;1400;1800;0000;0000;0000;0000;0000;0000;0000;0000
10107;00120;PARIS ROCHECHOUART;25, bd de Rochechouart;;PARIS 09;75009;Lu0000000000000000Ma0900130013451800Me0900130013451800Je0945130013451800Ve0900130013451800Sa0900130000000000Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;48.877866,2.344718;Lu0000000000000000;Ma0900130013451800;Me0900130013451800;Je0945130013451800;Ve0900130013451800;Sa0900130000000000;Di0000000000000000;0000;0000;0000;0000;0900;1300;1345;1800;0900;1300;1345;1800;0945;1300;1345;1800;0900;1300;1345;1800;0900;1300;0000;0000;0000;0000;0000;0000
10107;00121;PARIS VOLTAIRE LEON FROT;204, bd Voltaire;;PARIS 11;75011;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;uniquement sur RDV;BRED-Banque Populaire;https://www.bred.fr/;48.853604,2.386839;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
13807;00022;AURAY;47, pl de la République;;AURAY;56400;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;47.666381,-2.984218;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
13807;00023;LANESTER;Pl Jean Moulin;;LANESTER;56600;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;Ouverture sur rendez-vous l'après-midi;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;47.756193,-3.328997;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
13807;00026;PLOEMEUR;4, rue de Larmor;;PLOEMEUR;56270;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;47.736055,-3.426541;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
