Numéro de série;Code_Guichet;Marque;Date d'installation;Type d'implantation;Modèle
46.753.335;317;NCR;2013-10-29T01:00:00+01:00;Interne;NCR 6626
46.753.336;464;NCR;2013-09-16T02:00:00+02:00;Interne;NCR 6626
46.753.338;731;NCR;2013-09-19T02:00:00+02:00;Centre commercial;NCR 6626
46.753.339;357;NCR;2013-09-24T02:00:00+02:00;Centre commercial;NCR 6626
46.755.895;620;NCR;2014-04-28T02:00:00+02:00;LSB;NCR 6626
46.755.897;190;NCR;2014-10-10T02:00:00+02:00;LSB;NCR 6626
46.755.898;181;NCR;2014-11-17T01:00:00+01:00;LSB;NCR 6626
46.755.899;483;NCR;2014-09-01T02:00:00+02:00;LSB;NCR 6626
46.755.901;624;NCR;2014-12-01T01:00:00+01:00;LSB;NCR 6626
46.755.904;309;NCR;2014-11-24T01:00:00+01:00;LSB;NCR 6626
46.756.111;101;NCR;2015-07-08T14:57:28+02:00;LSB;NCR 6626
46.756.112;711;NCR;2015-07-08T13:43:52+02:00;LSB;NCR 6626
46.756.113;158;NCR;2015-06-04T14:47:47+02:00;Externe;NCR 6626
46.756.114;274;NCR;2015-07-29T16:41:48+02:00;LSB;NCR 6626
48.357.371;350;NCR;2014-11-17T01:00:00+01:00;Externe;NCR 6625
48.357.373;202;NCR;2014-12-17T01:00:00+01:00;Externe;NCR 6625
48.384.793;357;NCR;2016-05-10T18:38:39+02:00;LSB;NCR 6626
48.384.795;314;NCR;2015-04-13T11:23:28+02:00;LSB;NCR 6626
48.384.796;179;NCR;2015-03-04T01:00:00+01:00;Externe;NCR 6626
