Numéro de série;Code_Guichet;Marque;Date d'installation;Type d'implantation;Modèle
36.133.794;162;NCR;2003-06-19T02:00:00+02:00;Interne;NCR 5870
36.143.779;471;NCR;2003-07-17T02:00:00+02:00;Externe;NCR 5884
36.143.794;371;NCR;2003-07-10T02:00:00+02:00;Externe;NCR 5884
36.143.805;152;NCR;2003-07-03T02:00:00+02:00;Externe;NCR 5884
36.143.822;129;NCR;2003-06-11T02:00:00+02:00;Externe;NCR 5884
36.143.824;268;NCR;2003-06-25T02:00:00+02:00;Externe;NCR 5884
36.143.825;463;NCR;2003-06-26T02:00:00+02:00;Externe;NCR 5884
36.144.820;276;NCR;2003-09-02T02:00:00+02:00;Externe;NCR 5884
36.144.822;151;NCR;2003-07-22T02:00:00+02:00;Externe;NCR 5884
36.144.825;225;NCR;2003-07-29T02:00:00+02:00;Externe;NCR 5884
36.145.388;148;NCR;2003-06-20T02:00:00+02:00;LSB;NCR 5870
36.145.390;609;NCR;2003-08-28T02:00:00+02:00;Interne;NCR 5870
36.145.392;222;NCR;2003-09-13T02:00:00+02:00;Interne;NCR 5870
36.145.394;360;NCR;2003-09-29T02:00:00+02:00;Interne;NCR 5870
36.145.620;367;NCR;2004-03-08T01:00:00+01:00;Interne;NCR 5870
36.146.161;349;NCR;2003-10-09T02:00:00+02:00;LSB;NCR 5870
36.156.556;126;NCR;2003-11-13T01:00:00+01:00;Interne;NCR 5870
36.156.557;137;NCR;2003-11-04T01:00:00+01:00;Interne;NCR 5870
36.156.558;708;NCR;2003-11-10T01:00:00+01:00;Interne;NCR 5870
36.156.620;210;NCR;2003-12-09T01:00:00+01:00;LSB;NCR 5870
36.156.624;653;NCR;2004-03-01T01:00:00+01:00;Interne;NCR 5870
36.156.849;155;NCR;2004-05-25T02:00:00+02:00;Interne;NCR 5870
36.157.605;384;NCR;2003-11-10T01:00:00+01:00;Externe;NCR 5884
36.157.606;711;NCR;2003-09-13T02:00:00+02:00;Externe;NCR 5884
36.157.607;126;NCR;2003-11-04T01:00:00+01:00;Externe;NCR 5884
36.157.936;138;NCR;2004-11-15T01:00:00+01:00;Externe;NCR 5884
36.159.188;271;NCR;2006-09-12T02:00:00+02:00;Hors site;NCR 5884
36.159.190;217;NCR;2006-04-06T02:00:00+02:00;Centre commercial;NCR 5884
36.170.799;494;NCR;2004-11-15T01:00:00+01:00;LSB;NCR 5870
36.173.026;301;NCR;2004-12-03T01:00:00+01:00;Externe;NCR 5887
36.173.828;160;NCR;2005-06-07T02:00:00+02:00;Externe;NCR 5887
36.173.944;497;NCR;2004-10-01T02:00:00+02:00;Externe;NCR 5887
36.173.948;374;NCR;2005-04-13T02:00:00+02:00;Externe;NCR 5887
36.173.949;135;NCR;2005-08-23T02:00:00+02:00;Externe;NCR 5887
37.060.503;102;NCR;2005-07-05T02:00:00+02:00;Interne;NCR 5870
37.060.606;257;NCR;2007-11-27T01:00:00+01:00;LSB;NCR 5870
37.060.607;211;NCR;2006-04-06T02:00:00+02:00;Centre commercial;NCR 5870
37.079.534;126;NCR;2005-06-14T02:00:00+02:00;Hors site;NCR 5887
37.079.733;232;NCR;2005-02-28T01:00:00+01:00;Externe;NCR 5887
37.084.931;244;NCR;2005-02-28T01:00:00+01:00;LSB;NCR 5870
37.089.547;309;NCR;2005-08-05T02:00:00+02:00;Externe;NCR 5887
37.090.402;730;NCR;2005-04-05T02:00:00+02:00;Externe;NCR 5887
37.094.160;399;NCR;2005-04-13T02:00:00+02:00;LSB;NCR 5870
37.094.161;759;NCR;2005-05-10T02:00:00+02:00;LSB;NCR 5870
37.094.312;239;NCR;2005-08-23T02:00:00+02:00;LSB;NCR 5870
37.094.315;329;NCR;2005-06-07T02:00:00+02:00;LSB;NCR 5870
37.101.204;484;NCR;2005-08-30T02:00:00+02:00;Externe;NCR 5887
37.101.208;640;NCR;2005-12-09T01:00:00+01:00;LSB;NCR 5887
37.107.149;759;NCR;2005-07-20T02:00:00+02:00;LSB;NCR 5877
37.107.162;212;NCR;2005-09-19T02:00:00+02:00;LSB;NCR 5877
37.107.163;174;NCR;2005-09-26T02:00:00+02:00;LSB;NCR 5877
37.924.070;164;NCR;2006-04-13T02:00:00+02:00;LSB;NCR 5877
37.929.043;217;NCR;2006-04-13T02:00:00+02:00;Externe;NCR 5887
37.930.391;126;NCR;2005-12-13T01:00:00+01:00;LSB;NCR 5887
37.930.757;210;NCR;2005-12-12T01:00:00+01:00;Hors site;NCR 5887
37.935.864;114;NCR;2005-12-09T01:00:00+01:00;LSB;NCR 5877
37.935.987;484;NCR;2006-03-27T02:00:00+02:00;LSB;NCR 5877
38.514.314;721;NCR;2006-08-30T02:00:00+02:00;LSB;NCR 5877
38.514.316;119;NCR;2006-10-13T02:00:00+02:00;Externe;NCR 5887
38.517.476;377;NCR;2006-05-22T02:00:00+02:00;LSB;NCR 5877
38.517.541;374;NCR;2006-06-23T02:00:00+02:00;LSB;NCR 5877
38.523.930;724;NCR;2007-03-08T01:00:00+01:00;LSB;NCR 5877
38.524.006;178;NCR;2006-10-05T02:00:00+02:00;Hors site client;NCR 5877
38.528.312;174;NCR;2007-01-24T01:00:00+01:00;Externe;NCR 5887
38.528.325;633;NCR;2007-06-14T02:00:00+02:00;Externe;NCR 5887
38.528.328*;172;NCR;2007-04-12T02:00:00+02:00;Externe;NCR 5887
38.528.329;215;NCR;2007-04-04T02:00:00+02:00;Externe;NCR 5887
38.528.330;105;NCR;2007-03-01T01:00:00+01:00;Externe;NCR 5887
38.528.331;154;NCR;2007-04-11T02:00:00+02:00;Externe;NCR 5887
38.528.335;342;NCR;2007-05-23T02:00:00+02:00;Externe;NCR 5887
38.528.336;245;NCR;2007-07-23T02:00:00+02:00;Externe;NCR 5887
38.528.337;123;NCR;2007-03-08T01:00:00+01:00;Externe;NCR 5887
38.528.338*;164;NCR;2007-04-12T02:00:00+02:00;Externe;NCR 5887
38.528.340;474;NCR;2007-06-18T02:00:00+02:00;Externe;NCR 5887
38.528.341;181;NCR;2007-06-06T02:00:00+02:00;Externe;NCR 5887
38.528.342;371;NCR;2007-06-13T02:00:00+02:00;Externe;NCR 5887
38.528.343;357;NCR;2008-02-21T01:00:00+01:00;Externe;NCR 5887
40.821.972;330;NCR;2007-08-02T02:00:00+02:00;Hors site;NCR 5877
40.822.795;632;NCR;2007-06-18T02:00:00+02:00;LSB;NCR 5877
40.823.893;375;NCR;2007-08-06T02:00:00+02:00;Interne;NCR 5877
40.827.788;376;NCR;2007-07-26T02:00:00+02:00;Hors site;NCR 5887
40.828.593;645;NCR;2007-07-02T02:00:00+02:00;Externe;NCR 5887
40.828.594;231;NCR;2007-07-18T02:00:00+02:00;Hors site;NCR 5887
40.828.595;216;NCR;2017-02-02T12:29:20+01:00;Externe;NCR 5887
41 841 757*;182;NCR;2009-11-26T01:00:00+01:00;Externe;NCR 6625
41.107.090;180;NCR;2008-10-10T02:00:00+02:00;LSB;NCR 5877
41.107.455;378;NCR;2007-10-11T02:00:00+02:00;LSB;NCR 5877
41.111.853;642;NCR;2008-10-10T02:00:00+02:00;Externe;NCR 5887
41.111.854;392;NCR;2007-11-27T01:00:00+01:00;Externe;NCR 5887
41.112.277;123;NCR;2009-07-07T02:00:00+02:00;Hors site;NCR 5887
41.112.278;270;NCR;2008-01-04T01:00:00+01:00;Centre commercial;NCR 5887
41.356.619;268;NCR;2007-10-11T02:00:00+02:00;Externe;NCR 5887
41.356.622;329;NCR;2008-01-28T01:00:00+01:00;Externe;NCR 5887
41.376.312;178;NCR;2008-05-19T02:00:00+02:00;LSB;NCR 5877
41.376.313;340;NCR;2008-02-21T01:00:00+01:00;Interne;NCR 5877
41.378.418;363;NCR;2008-04-04T02:00:00+02:00;LSB;NCR 5877
41.385.367;178;NCR;2008-04-22T02:00:00+02:00;Externe;NCR 5887
41.386.127;364;NCR;2008-04-04T02:00:00+02:00;Externe;NCR 5887
41.386.420;211;NCR;2009-03-06T01:00:00+01:00;Externe;NCR 5887
41.386.421;272;NCR;2008-04-14T02:00:00+02:00;LSB;NCR 5877
41.841.730;359;NCR;2010-01-25T01:00:00+01:00;Externe;NCR 6625
